CardCode,CardName
C01547,Bolbam Enterprises
V0024,Bolbam Iron Scrap Stores
C00220,Bonafide Construction Pvt. Ltd.
C00013,Bony Traders
C00014,Boudheshwar Enterprises
V1515,Boudhimai Patel Trading Pvt. Ltd
C00550,Bp / Paradise J.V.
C00221,Bp Construction Pvt. Ltd.
V0703,Bqt Local Lunch Food
C01363,Bramhayani Engineering And Supplier Pvt. Ltd.
C01740,Bramhayani Trading Pvt. Ltd.
V1278,Brand Worth Pvt. Ltd
V0657,Bravo Sponge Iron Pvt. Ltd.
C01713,Briddhi Nirman Sewa Pvt. Ltd.
C01519,Bright Multi Construction Pvt. Ltd
V1369,Brothers And Sons Suppliers Private Limited
C00551,Brothers Hardware & Suppliers
C01368,Brothers United Construction Pvt. Ltd.
C01455,Brothers/Devchuli J.V.
V0609,Bs Printing Support
V0492,Bs Traders
V0955,Buddha Air Pvt. Ltd.
C01238,Buddham Sharanam Construction Pvt. Ltd.
C00910,Budhanilkantha Enterprises
C01714,Budhathoki Store
C01685,Budhi Gandaki Construction And Suppliers Pvt. Ltd.
C00176,Building Care Enterprises
C01414,Buildpad Suppliers Pvt. Ltd.
C00741,Bullet Express Dhuwani Sewa
C01041,Bullet General Suppliers
V0660,Bunty Overseas Pvt. Ltd.
V0065,Bureau of Indian Standards
C00155,Byahut Hardware & Suppliers
V1353,Byahut Liquors
C01718,Byhaut Hardware And Suppliers (Bara)
V1315,C And K Scrap Suppliers
C00222,C. & C. Group Pvt. Ltd.
C00149,C. A Construction & Consultancy Pvt Ltd
C00626,C.A.B / Kushum J.V
C00708,C.A.N. Construction & Suppliers Pvt. Ltd.
C01608,C.M. Construction Pvt. Ltd.
C00223,C.M. Current Nirman Sewa And Suppliers Pvt. Ltd.
C00604,CE Construction Pvt Ltd
V1255,CEMMAX ENTERPRISES
V1272,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED
V0978,CHANDANBALA INTERNATIONAL
V1071,CIVIL HEALTH SERVICE PVT.LTD
V0933,CME Engineering Pvt. Ltd.
V1251,CMTC METALLURGICAL INDIA PVT LTD
V0993,COMPARTS SOLUTION
V1270,CONCAST TECHNO ENGINEERING
C01377,COVEC-CREGC-Tundi Joint Venture
C01612,CRC.AD.JV
V1483,CRYOCORP O2 LLP
V0313,Calderys India Refractories Limited
V0611,Capitaleye Pvt. Ltd.
V0869,Cardan Shaft India
V1275,Carpenters Stop Pvt. Ltd.
V0025,Cbc Enterprises
V1312,Central Material Testing Lab (TU)
C00224,Cg Hardware & Suppliers Pvt. Ltd.
C00632,Chainlink Engineering Pvt Ltd
C01338,Chameli Mai Nirman Sewa
C00225,Champadevi Multipurpose Pvt. Ltd.
C00514,Chandan Kundan Hardware & Suppliers
V0535,Chandan Mal Biu Store
V1346,Chandani Oil Pvt. Ltd
C00226,Chandeshwori Hardware And Machinery
C00946,Chandi Devi-Munna Jv
C01085,Chandika Enterprises And Supplies
C00646,Chandika Hardware Store
C00227,Chandrajyoti Construction & Suppliers Pvt. Ltd.
C01336,Chandrarekha Builders and Suppliers Pvt. Ltd.
C00631,Chandrodaya Nirman Sewa
C00894,Changunarayan Hardware
C00228,Charumati Construction Pvt. Ltd.
V0999,Chaudhary Enterprises
C00229,Chaudhary Hardware
C01130,Chaudhary Santoshi J.V.
C00744,Chaudhary Tol Bikash Nirman Upbhokta Samitee
V1031,Chaudhary Tyre
C00230,Chauhan Hardware & Suppliers
C00015,Chaulagain Hardware
V0694,Chaulagain N. & Associates Chartered Accountants
V0737,Chaurasiya Labour Suppliers Pvt. Ltd.
C01684,Chhahare Hardware Pvt. Ltd.
C00877,Chhayashwari Nirman Sewa Pvt. Ltd.
C00231,China Communication Construction Company Ltd.
C01263,China First Highway Engineering Co.Ltd.
V0604,Chitra Sign
C00232,Chitranya Hardware & Sanitary
C00233,Chitranya Hardware Pvt. Ltd
V0229,Chitwan Sahara Hardware Pvt. Ltd.
C00234,Chitwan Trading House
C01195,Cho Rolpa Construction Pvt. Ltd.
C01089,Chubalu Construction
C01756,Chundevi Nirman Sewa
V0326,Churiyamai Earthmoving Electricals
V0480,Churiyamai Kitchen Suppliers
V0620,Civil Engineering Students Society Nepal
V0413,Cj Darcl Logistics Limited
V0026,Classic Package Pvt. Ltd.
V0711,Classic Plaza Hotel Pvt. Ltd.
V0230,Clean City
C01595,Complete Construction Solution Pvt. Ltd.
V1416,Complete Suppliers Pvt. Ltd.
V0867,Comtech Engineers & Consultants ( P ) Ltd.
V0868,Concast Pvt. Ltd. ( India )
V0973,Continental Belting Pvt.Ltd
V0371,Continental Service Pvt. Ltd.
V0911,Cotmac Electronics Pvt Ltd
V1379,Crayons Corp pvt. Ltd
V1462,Creative Studio
V0959,Crystal Controls Pvt. Ltd.
V0539,Cs International
V1182,Custom Office Bhairahawa
V1125,Custom Office Birgunj
V1126,Custom Office Birgunj  Dry Port
V1183,Custom Office TIA
C00919,D.B. Deo Nirman Sewa
V0499,D.B. Helmet House
V0661,D.B. Machine Tools Pvt. Ltd.
V1419,D.C.A. Nepal Traders
C01013,D.K. Brothers And Suppliers
V1318,D.K. Carrier Service
C01391,D.K. Construction
C00235,D.K. Enterprises
C01571,D.M. Build Construction Pvt. Ltd.
C01107,D.N.O. Nirman Sewa
C00682,D.P. Hardware Center
C00691,D.P. Nirman Sewa & Suppliers Pvy. Ltd.
C01403,D.R. Multi Trade Pvt. Ltd.
C01397,D.R.M. Construction and Company Pvt. Ltd.
C00590,D.R.M.S. Developers Pvt. Ltd.
V1352,D.S. Dhuwani Sewa
V1455,DAWANYA DEVI OIL STORES
V0953,DELUXE INDUSTRIAL GASES
V1257,DHL Express Nepal Pvt. Ltd
C00158,DO not use
V0410,DO not use Samridhi Dhuwani Sewa
V1075,DTDC Express Limited.
C00605,Daas Investment Pvt Ltd
C01147,Dai Bhai Traders Pvt. Ltd.
C00552,Daju Bhai Hardware
C01480,Dakshineshwari Traders & Suppliers
C00017,Dakshinkali Hardware Suppeliers
C00515,Dalit Chhatrabash Nirman Upbhokta Samiti
C00591,Dan Bahadur Enterprises
C01394,Danfe Construction Company Pvt. Ltd.
V0403,Danfe Logistics Company Pvt. Ltd.
C01660,Darshan Nirman Sewa
C01020,Darshan Trade
C00710,Dayal Galla Bhandar
C00248,Dayana Construction
V1328,Dayanand Traders
V0231,Ddt Trading
C00984,Dedicated Engineering Consultancy And Construction Pvt.Ltd
C01632,Dee Eye Core Construction
V0312,Deem Roll Tech Ltd
V1073,Deep Road Carrier
C01633,Deep Trade Link and Udhyog Pvt. Ltd.
C01412,Deepak And Diya Builders Pvt. Ltd.
C00638,Deepak Hardware
V0524,Deepak Time Center
C00236,Deepak Traders
C01513,Deependra Pathak
V1289,Deewa Enterprises
V1393,Delta Motor Works Pvt. Ltd
V1235,Deputa International Company Pvt.Ltd.
V0865,Deskco Furniture
C00988,Deuti Bajai And Pooja Builders Pvt.Ltd
C01440,Dev & Sayar / Gyanjyoti / Kshitiz J.V
C01032,Dev And Sayar - Bhumi Joint Venture
C00237,Dev Exim Pvt. Ltd.
C01128,Dev Urja Construction Pvt. Ltd.
C01254,Devchuli Nirman Sewa
C00238,Devganga Store
C00705,Devi Hardware
V0027,Devi Traders & Suppliers
V0232,Devikripa Hardware Pvt. Ltd.
C00725,Devkota Hardware & Suppliers
C01243,Devkota Nirman Sewa Pvt. Ltd.
C01364,Devkota Traders & Suppliers Pvt. Ltd.
C01588,Dhading Construction
C01623,Dhakal Construction
C00891,Dhan & Sons Construction Pvt. Ltd.
C01086,Dhana Developers Pvt. Ltd.
C00239,Dhaneshwari Suppliers
V0233,Dhanlaxmi Impex & Trading Company Pvt. Ltd.
V0234,Dhanraj Traders
V1216,Dharmendra Traders and Suppliers Pvt.Ltd.
C01017,Dharohar Supplies
C00240,Dhaulagiri Hardware Center & Suppliers
C00018,Dhaulagiri Nirman Bikri Kendra
C01305,Dhir Traders
C01094,Dhiraj Nirman Sewa
C01212,Dholahiti Suppliers
C01037,Dhukuchhu Construction Company Pvt. Ltd.
C00821,Dhulikhel / Kamakhaya J V
C00823,Dhulikhel Nirman Sewa Pvt. Ltd.
C01570,Dhungeshwori Nirman Sewa And Suppliers Pvt. Ltd.
C01048,Dibas Engineering Construction
C00019,Dibya Hardware
C00020,Dibyasha Pilling Drilling Sewa
C00888,Digo Suppliers Pvt. Ltd.
C00242,Diksha Trade Center
C01258,Dimun Construction And Suppliers Pvt. Ltd.
C00243,Dinbandhu Oil And Trading House
C00177,Dinesh Hardware Suppliers
C00742,Dinesh Iron Stores
C01143,Dinker Construction Pvt. Ltd.
C01346,Dipendra Prasad Yadav
C00157,Dipesh Babu Enterprises
C00716,Dipotsab Hardware & Suppliers
C00802,Dipu Construction Pvt. Ltd.
V0327,Dipu Motor Parts
V0235,Divya Ananya Concern
C00021,Divya Pashupati Traders
V0514,Divyan Traders & Suppliers
